Data_Hora_Evento,Numero_Satelites,HDOP
2025-06-27 12:48:08,12.0,1.0
2025-06-27 12:48:12,12.0,1.0
2025-06-27 12:48:12,12.0,1.0
2025-06-27 12:48:13,12.0,1.0
2025-06-27 12:48:17,12.0,1.0
2025-06-27 12:49:32,12.0,1.0
2025-06-27 12:49:43,12.0,1.0
2025-06-27 12:50:05,12.0,1.0
2025-06-27 12:50:41,12.0,1.0
2025-06-27 12:50:56,12.0,1.0
2025-06-27 12:51:18,12.0,1.0
2025-06-27 12:53:26,12.0,1.0
2025-06-27 12:53:26,12.0,1.0
2025-06-27 12:53:26,12.0,1.0
2025-06-27 12:53:27,12.0,0.0
2025-06-27 12:53:27,12.0,0.0
2025-06-27 12:53:27,12.0,1.0
2025-06-27 12:53:27,12.0,1.0
2025-06-27 12:53:31,12.0,1.0
2025-06-27 12:56:33,12.0,1.0
2025-06-27 12:57:46,12.0,1.0
2025-06-27 12:57:50,12.0,1.0
2025-06-27 12:57:55,12.0,1.0
2025-06-27 12:58:00,12.0,1.0
2025-06-27 12:58:03,12.0,1.0
2025-06-27 12:58:06,12.0,1.0
2025-06-27 12:58:09,12.0,1.0
2025-06-27 12:58:19,12.0,1.0
2025-06-27 12:58:56,12.0,1.0
2025-06-27 12:58:57,12.0,1.0
2025-06-27 12:58:59,12.0,1.0
2025-06-27 12:59:01,12.0,1.0
2025-06-27 12:59:04,12.0,1.0
2025-06-27 12:59:23,12.0,1.0
2025-06-27 12:59:29,12.0,1.0
2025-06-27 12:59:33,12.0,1.0
2025-06-27 13:02:33,12.0,1.0
2025-06-27 13:04:46,12.0,1.0
2025-06-27 13:05:26,12.0,1.0
2025-06-27 13:05:33,12.0,1.0
2025-06-27 13:08:33,12.0,1.0
2025-06-27 13:11:33,12.0,1.0
2025-06-27 13:14:33,12.0,1.0
2025-06-27 13:17:33,12.0,1.0
2025-06-27 13:20:33,12.0,1.0
2025-06-27 13:21:57,12.0,1.0
2025-06-27 13:23:33,12.0,1.0
2025-06-27 13:24:24,12.0,1.0
2025-06-27 13:26:33,12.0,1.0
2025-06-27 13:27:10,12.0,1.0
2025-06-27 13:27:45,12.0,1.0
2025-06-27 13:27:59,12.0,1.0
2025-06-27 13:28:02,12.0,1.0
2025-06-27 13:28:06,12.0,1.0
2025-06-27 13:28:08,12.0,1.0
2025-06-27 13:28:18,12.0,1.0
2025-06-27 13:28:18,12.0,1.0
2025-06-27 13:28:18,12.0,1.0
2025-06-27 13:28:18,12.0,1.0
2025-06-27 13:29:00,12.0,1.0
2025-06-27 14:00:50,12.0,0.0
2025-06-27 14:00:50,12.0,0.0
2025-06-27 14:00:59,12.0,1.0
2025-06-27 14:00:59,12.0,1.0
2025-06-27 14:01:36,12.0,1.0
2025-06-27 14:01:42,12.0,1.0
2025-06-27 14:01:48,12.0,1.0
2025-06-27 14:01:50,12.0,1.0
2025-06-27 14:01:52,12.0,1.0
2025-06-27 14:01:56,12.0,1.0
2025-06-27 14:02:17,12.0,1.0
2025-06-27 14:02:19,12.0,1.0
2025-06-27 14:03:15,12.0,1.0
2025-06-27 14:04:00,12.0,1.0
2025-06-27 14:05:38,12.0,1.0
