Data/Hora Evento,Tipo Mensagem,Motion Status,Diferença entre GTERI (IGN),Diferença entre GTERI (IGF)
2025-06-12 18:42:55,GTERI,22,180.0,
2025-06-12 18:45:55,GTERI,22,180.0,
2025-06-12 18:48:55,GTERI,22,180.0,
2025-06-12 18:51:55,GTERI,22,180.0,
2025-06-12 18:54:55,GTERI,22,180.0,
2025-06-12 18:57:55,GTERI,22,180.0,
2025-06-12 19:00:55,GTERI,22,180.0,
2025-06-12 19:03:55,GTERI,22,180.0,
2025-06-12 19:06:55,GTERI,22,180.0,
2025-06-12 19:09:55,GTERI,22,180.0,
2025-06-12 19:12:55,GTERI,22,180.0,
2025-06-12 19:15:55,GTERI,22,180.0,
2025-06-12 19:18:55,GTERI,22,180.0,
2025-06-12 19:21:55,GTERI,22,180.0,
2025-06-12 19:24:55,GTERI,22,180.0,
2025-06-12 19:27:55,GTERI,22,180.0,
2025-06-12 19:30:55,GTERI,22,180.0,
2025-06-12 19:33:55,GTERI,22,180.0,
2025-06-12 19:36:55,GTERI,22,180.0,
2025-06-12 19:39:55,GTERI,22,180.0,
2025-06-12 19:42:55,GTERI,22,180.0,
2025-06-12 19:45:55,GTERI,22,180.0,
2025-06-12 19:48:55,GTERI,22,180.0,
2025-06-12 19:51:55,GTERI,22,180.0,
2025-06-12 19:54:55,GTERI,22,180.0,
2025-06-12 19:56:30,GTIGF,,,
2025-06-12 19:56:31,GTERI,12,,1.0
2025-06-12 20:35:56,GTIGN,,,
2025-06-12 20:36:15,GTERI,22,19.0,
2025-06-12 20:39:02,GTERI,22,167.0,
2025-06-12 20:42:02,GTERI,22,180.0,
2025-06-12 20:45:02,GTERI,22,180.0,
2025-06-12 20:48:02,GTERI,22,180.0,
2025-06-12 20:51:02,GTERI,22,180.0,
2025-06-12 20:54:02,GTERI,22,180.0,
2025-06-12 20:55:32,GTERI,12,,3541.0
2025-06-12 20:55:32,GTIGF,,,
2025-06-12 21:01:37,GTIGN,,,
2025-06-12 21:01:46,GTERI,22,9.0,
2025-06-12 21:02:08,GTIGF,,,
2025-06-12 21:02:08,GTERI,12,,0.0
2025-06-12 21:44:39,GTIGN,,,
2025-06-12 21:44:47,GTERI,22,8.0,
2025-06-12 21:47:45,GTERI,22,178.0,
2025-06-12 21:50:45,GTERI,22,180.0,
2025-06-12 21:53:45,GTERI,22,180.0,
2025-06-12 21:56:45,GTERI,22,180.0,
2025-06-12 21:59:45,GTERI,22,180.0,
2025-06-12 22:02:45,GTERI,22,180.0,
2025-06-12 22:04:35,GTERI,12,,3747.0
2025-06-12 22:04:35,GTIGF,,,
2025-06-12 23:04:31,GTERI,11,,3596.0
2025-06-13 00:04:31,GTERI,11,,3600.0
2025-06-13 01:04:31,GTERI,11,,3600.0
2025-06-13 02:04:31,GTERI,11,,3600.0
2025-06-13 03:04:31,GTERI,11,,3600.0
2025-06-13 04:04:31,GTERI,11,,3600.0
2025-06-13 04:30:11,GTIGN,,,
2025-06-13 04:31:15,GTERI,22,64.0,
2025-06-13 04:33:17,GTERI,22,122.0,
2025-06-13 04:36:17,GTERI,22,180.0,
2025-06-13 04:39:17,GTERI,22,180.0,
2025-06-13 04:40:48,GTIGF,,,
2025-06-13 04:40:48,GTERI,12,,0.0
2025-06-13 05:40:44,GTERI,11,,3596.0
2025-06-13 06:06:45,GTIGN,,,
2025-06-13 06:07:09,GTERI,22,24.0,
2025-06-13 06:09:38,GTIGF,,,
2025-06-13 06:09:39,GTERI,12,,1.0
2025-06-13 06:12:01,GTIGN,,,
2025-06-13 06:12:06,GTERI,22,5.0,
2025-06-13 06:15:10,GTERI,22,184.0,
2025-06-13 06:18:10,GTERI,22,180.0,
2025-06-13 06:21:10,GTERI,22,180.0,
2025-06-13 06:24:10,GTERI,22,180.0,
2025-06-13 06:27:10,GTERI,22,180.0,
2025-06-13 06:30:10,GTERI,22,180.0,
2025-06-13 06:33:10,GTERI,22,180.0,
2025-06-13 06:36:10,GTERI,22,180.0,
2025-06-13 06:39:10,GTERI,22,180.0,
2025-06-13 06:42:10,GTERI,22,180.0,
2025-06-13 06:43:53,GTIGF,,,
2025-06-13 06:43:53,GTERI,12,,0.0
2025-06-13 06:52:25,GTIGN,,,
2025-06-13 06:52:36,GTERI,22,11.0,
2025-06-13 06:55:34,GTERI,22,178.0,
2025-06-13 06:58:09,GTIGF,,,
2025-06-13 06:58:10,GTERI,12,,1.0
2025-06-13 07:21:07,GTIGN,,,
2025-06-13 07:21:16,GTERI,22,9.0,
2025-06-13 07:23:28,GTIGF,,,
2025-06-13 07:23:29,GTERI,12,,1.0
2025-06-13 07:32:40,GTIGN,,,
2025-06-13 07:32:49,GTERI,22,9.0,
2025-06-13 07:35:50,GTERI,22,181.0,
2025-06-13 07:38:50,GTERI,22,180.0,
2025-06-13 07:41:50,GTERI,22,180.0,
2025-06-13 07:44:50,GTERI,22,180.0,
2025-06-13 07:47:50,GTERI,22,180.0,
2025-06-13 07:50:50,GTERI,22,180.0,
