bloco,ordem_no_bloco,latitude,longitude,data_hora,hodometro_atual,motion_status
1,114,-23.330219,-51.177712,2025-07-08 20:26:35,2.4,21.0
1,115,-23.33043,-51.177614,2025-07-08 20:30:21,2.4,21.0
1,116,-23.33043,-51.177614,2025-07-08 20:31:39,2.4,21.0
1,117,-23.330674,-51.177554,2025-07-08 20:34:59,2.8,21.0
1,118,-23.330674,-51.177554,2025-07-08 20:34:59,2.8,21.0
1,119,-23.330674,-51.177554,2025-07-08 20:34:59,2.8,21.0
1,120,-23.330674,-51.177554,2025-07-08 20:34:59,2.8,21.0
1,121,-23.329681,-51.177936,2025-07-08 20:35:35,2.8,21.0
1,122,-23.32972,-51.177488,2025-07-08 20:38:02,3.0,21.0
1,123,-23.329606,-51.177442,2025-07-08 20:38:35,3.0,21.0
1,124,-23.329606,-51.177442,2025-07-08 20:41:35,3.0,21.0
1,125,-23.329606,-51.177442,2025-07-08 20:44:35,3.0,21.0
1,126,-23.329606,-51.177442,2025-07-08 20:47:35,3.0,21.0
1,127,-23.329606,-51.177442,2025-07-08 20:50:35,3.0,21.0
1,128,-23.329606,-51.177442,2025-07-08 20:53:35,3.0,21.0
1,129,-23.329606,-51.177442,2025-07-08 20:56:35,3.0,21.0
1,130,-23.329606,-51.177442,2025-07-08 20:59:35,3.0,21.0
1,131,-23.329606,-51.177442,2025-07-08 20:59:35,3.0,21.0
1,132,-23.329606,-51.177442,2025-07-08 21:02:35,3.0,21.0
1,133,-23.329606,-51.177442,2025-07-08 21:03:41,3.0,21.0
1,134,-23.329606,-51.177442,2025-07-08 21:05:35,3.0,21.0
1,135,-23.329606,-51.177442,2025-07-08 21:08:35,3.0,21.0
1,136,-23.329606,-51.177442,2025-07-08 21:09:27,3.0,21.0
1,137,-23.329606,-51.177442,2025-07-08 21:11:35,3.0,21.0
1,138,-23.329606,-51.177442,2025-07-08 21:14:35,3.0,21.0
1,139,-23.329606,-51.177442,2025-07-08 21:17:35,3.0,21.0
1,140,-23.329606,-51.177442,2025-07-08 21:20:35,3.0,21.0
1,141,-23.329606,-51.177442,2025-07-08 21:23:35,3.0,21.0
1,142,-23.329606,-51.177442,2025-07-08 21:26:35,3.0,21.0
1,143,-23.329606,-51.177442,2025-07-08 21:29:35,3.0,21.0
1,144,-23.329606,-51.177442,2025-07-08 21:32:35,3.0,21.0
1,145,-23.329606,-51.177442,2025-07-08 21:35:35,3.0,21.0
1,146,-23.329606,-51.177442,2025-07-08 21:38:35,3.0,21.0
1,147,-23.329606,-51.177442,2025-07-08 21:41:35,3.0,21.0
1,148,-23.329606,-51.177442,2025-07-08 21:44:35,3.0,21.0
1,149,-23.329606,-51.177442,2025-07-08 21:47:35,3.0,21.0
1,150,-23.329606,-51.177442,2025-07-08 21:50:35,3.0,21.0
1,151,-23.329606,-51.177442,2025-07-08 21:53:35,3.0,21.0
1,152,-23.329606,-51.177442,2025-07-08 21:56:35,3.0,21.0
1,153,-23.329606,-51.177442,2025-07-08 21:59:35,3.0,21.0
1,154,-23.329606,-51.177442,2025-07-08 22:02:35,3.0,21.0
1,155,-23.329606,-51.177442,2025-07-08 22:05:35,3.0,21.0
1,156,-23.329606,-51.177442,2025-07-08 22:08:35,3.0,21.0
1,157,-23.329606,-51.177442,2025-07-08 22:11:35,3.0,21.0
1,158,-23.329606,-51.177442,2025-07-08 22:14:35,3.0,21.0
1,159,-23.329606,-51.177442,2025-07-08 22:17:35,3.0,21.0
1,160,-23.329606,-51.177442,2025-07-08 22:20:35,3.0,21.0
1,161,-23.329606,-51.177442,2025-07-08 22:23:35,3.0,21.0
1,162,-23.329606,-51.177442,2025-07-08 22:26:35,3.0,21.0
1,163,-23.329606,-51.177442,2025-07-08 22:29:35,3.0,21.0
1,164,-23.329606,-51.177442,2025-07-08 22:32:35,3.0,21.0
1,165,-23.329606,-51.177442,2025-07-08 22:35:35,3.0,21.0
1,166,-23.329606,-51.177442,2025-07-08 22:38:35,3.0,21.0
1,167,-23.329606,-51.177442,2025-07-08 22:41:35,3.0,21.0
1,168,-23.329606,-51.177442,2025-07-08 22:44:35,3.0,21.0
1,169,-23.329606,-51.177442,2025-07-08 22:47:35,3.0,21.0
1,170,-23.329606,-51.177442,2025-07-08 22:50:35,3.0,21.0
1,171,-23.329606,-51.177442,2025-07-08 22:53:35,3.0,21.0
1,172,-23.329606,-51.177442,2025-07-08 22:56:35,3.0,21.0
1,173,-23.329606,-51.177442,2025-07-08 22:59:35,3.0,21.0
1,174,-23.329606,-51.177442,2025-07-08 23:02:35,3.0,21.0
1,175,-23.329606,-51.177442,2025-07-08 23:05:35,3.0,21.0
1,176,-23.329606,-51.177442,2025-07-08 23:08:35,3.0,21.0
